feature,source,test_safe,available,diagnostic_AUROC_P_vs_N1,diagnostic_AUROC_P_vs_N3,folds_0_2_direction,folds_3_4_direction,auc_p_vs_n1_folds_0_2,auc_p_vs_n3_folds_0_2,auc_p_vs_n1_folds_3_4,auc_p_vs_n3_folds_3_4,notes,stability,classification
s0_top1,S0 probability,True,True,0.41415699080793417,0.5263290229885058,higher_in_P,higher_in_P,0.4140423522574552,0.523141654978962,0.43218390804597695,0.5449403378273671,diagnostic AUROC only; no threshold selected,STABLE,WEAK
s0_margin,S0 probability,True,True,0.33549528301886794,0.4249910201149426,lower_in_P,lower_in_P,0.317206058624823,0.4131497301202771,0.38033205619412513,0.45932124593212453,diagnostic AUROC only; no threshold selected,STABLE,MODERATE
s0_entropy,S0 probability,True,True,0.5001814223512336,0.37657147988505746,lower_in_P,lower_in_P,0.49042897097817006,0.3702877300352756,0.5085568326947637,0.37897102123043547,diagnostic AUROC only; no threshold selected,STABLE,WEAK
lzh_top1,LZH Prior-H probability,True,True,0.3213745766811804,0.18160919540229883,lower_in_P,lower_in_P,0.31884057971014496,0.1785243741765481,0.3237547892720306,0.1868123353479002,diagnostic AUROC only; no threshold selected,STABLE,MODERATE
lzh_margin,LZH Prior-H probability,True,True,0.30220428156748913,0.1909662356321839,lower_in_P,lower_in_P,0.2981366459627329,0.18226443962769348,0.3162196679438059,0.20478847047884705,diagnostic AUROC only; no threshold selected,STABLE,STRONG
lzh_entropy,LZH Prior-H probability,True,True,0.6365354378326076,0.839385775862069,higher_in_P,higher_in_P,0.6352838618284844,0.8343533511836457,0.6399744572158365,0.8476677514334418,diagnostic AUROC only; no threshold selected,STABLE,MODERATE
wyh_top1,WYH MODEL V2 probability,True,True,0.3243226898887276,0.1798132183908046,lower_in_P,lower_in_P,0.3209109730848862,0.17612308215393768,0.33065134099616855,0.1834805516813885,diagnostic AUROC only; no threshold selected,STABLE,MODERATE
wyh_margin,WYH MODEL V2 probability,True,True,0.31771589259796806,0.18104346264367818,lower_in_P,lower_in_P,0.313900693763394,0.17771686004505077,0.3266922094508301,0.18565008523167517,diagnostic AUROC only; no threshold selected,STABLE,MODERATE
wyh_entropy,WYH MODEL V2 probability,True,True,0.657338534107402,0.8256196120689655,higher_in_P,higher_in_P,0.6611456176673568,0.8313782991202346,0.6466155810983397,0.8158995815899581,diagnostic AUROC only; no threshold selected,STABLE,MODERATE
lzh_wyh_agree,cross-expert predicted class,True,True,0.49111786405418484,0.5139727011494253,higher_in_P,higher_in_P,0.4960771493952272,0.5164690382081687,0.4754789272030651,0.5019758251975824,diagnostic AUROC only; no threshold selected,STABLE,WEAK
lzh_s0_agree,cross-expert predicted class,True,True,0.15602322206095792,0.4831896551724138,lower_in_P,lower_in_P,0.15538847117794485,0.4831378299120235,0.1568965517241379,0.48326359832635984,diagnostic AUROC only; no threshold selected GROUP P requires S0 to disagree with both currently wrong strong experts; this feature is not an independent reliability cue.,DEFINITIONALLY_FALSE_ON_P,WEAK
wyh_s0_agree,cross-expert predicted class,True,True,0.16255442670537013,0.49181034482758623,lower_in_P,lower_in_P,0.16290726817042606,0.49193548387096775,0.16206896551724137,0.4916317991631799,diagnostic AUROC only; no threshold selected GROUP P requires S0 to disagree with both currently wrong strong experts; this feature is not an independent reliability cue.,DEFINITIONALLY_FALSE_ON_P,WEAK
all_three_agree,cross-expert predicted class,True,True,0.169811320754717,0.5,tied,tied,0.16917293233082709,0.5,0.1706896551724138,0.5,diagnostic AUROC only; no threshold selected GROUP P requires S0 to disagree with both currently wrong strong experts; this feature is not an independent reliability cue.,DEFINITIONALLY_FALSE_ON_P,WEAK
all_three_different,cross-expert predicted class,True,True,0.5299271286889211,0.5110272988505747,higher_in_P,higher_in_P,0.523972975918056,0.5084576480088402,0.5469348659003832,0.5231287773128778,diagnostic AUROC only; no threshold selected,STABLE,WEAK
n_experts_supporting_s0,cross-expert predicted class,True,True,0.14876632801161105,0.475,lower_in_P,lower_in_P,0.14912280701754388,0.4750733137829912,0.14827586206896554,0.47489539748953974,diagnostic AUROC only; no threshold selected GROUP P requires S0 to disagree with both currently wrong strong experts; this feature is not an independent reliability cue.,DEFINITIONALLY_FALSE_ON_P,WEAK
n_strong_supporting_s0,cross-expert predicted class,True,True,0.14876632801161105,0.475,lower_in_P,lower_in_P,0.14912280701754388,0.4750733137829912,0.14827586206896554,0.47489539748953974,diagnostic AUROC only; no threshold selected GROUP P requires S0 to disagree with both currently wrong strong experts; this feature is not an independent reliability cue.,DEFINITIONALLY_FALSE_ON_P,WEAK
s0_prob_advantage_lzh,cross-expert top1 difference,True,True,0.526321359458152,0.7626616379310345,higher_in_P,higher_in_P,0.5154916276197741,0.770517234051596,0.562962962962963,0.7649930264993026,diagnostic AUROC only; no threshold selected,STABLE,MODERATE
s0_prob_advantage_wyh,cross-expert top1 difference,True,True,0.5301161103047896,0.7179777298850575,higher_in_P,higher_in_P,0.5171261487050961,0.7177100599260486,0.5690932311621968,0.7304354563768789,diagnostic AUROC only; no threshold selected,STABLE,MODERATE
js_s0_lzh,"cross-expert JS divergence, base 2",True,True,0.5659772617319787,0.12607758620689657,lower_in_P,lower_in_P,0.549271730049762,0.12159462790598835,0.5977011494252873,0.1356733302339997,diagnostic AUROC only; no threshold selected,STABLE,MODERATE
js_s0_wyh,"cross-expert JS divergence, base 2",True,True,0.5650701499758104,0.1285201149425287,lower_in_P,lower_in_P,0.552577094911191,0.12233839092184112,0.5954022988505747,0.13885014721834804,diagnostic AUROC only; no threshold selected,STABLE,MODERATE
js_lzh_wyh,"cross-expert JS divergence, base 2",True,True,0.5255049588776004,0.7329920977011494,higher_in_P,higher_in_P,0.5098979332388943,0.7218113816991798,0.58058748403576,0.7694095769409577,diagnostic AUROC only; no threshold selected,STABLE,MODERATE
n_detected,counts_train nonzero official genes,True,True,0.46280085873246257,0.33077406609195403,lower_in_P,lower_in_P,0.4679997094184737,0.3347039823196906,0.45893997445721585,0.31659693165969316,diagnostic AUROC only; no threshold selected,STABLE,WEAK
library_size,counts_train library size,True,True,0.5351581398161587,0.4243848778735632,lower_in_P,lower_in_P,0.5367948857651376,0.4135747375579073,0.5510217113665389,0.4482023864869053,diagnostic AUROC only; no threshold selected,STABLE,WEAK
